# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
1.979999999999999982e+00,6.170481508051020469e+00,5.100548713867780748e-01,5.100548713867780748e-01,0.000000000000000000e+00
1.989999999999999991e+00,6.175570504584946718e+00,5.088996533926248844e-01,5.088996533926248844e-01,0.000000000000000000e+00
2.000000000000000000e+00,6.180647898712589239e+00,5.077394127642520516e-01,5.077394127642520516e-01,0.000000000000000000e+00
2.010000000000000231e+00,6.185713640322118678e+00,5.065741609529439415e-01,5.065741609529439415e-01,0.000000000000000000e+00
2.020000000000000018e+00,6.190767679416710578e+00,5.054039094591900039e-01,5.054039094591900039e-01,0.000000000000000000e+00
2.030000000000000249e+00,6.195809966115037426e+00,5.042286698326847727e-01,5.042286698326847727e-01,0.000000000000000000e+00
2.040000000000000036e+00,6.200840450651767810e+00,5.030484536730384093e-01,5.030484536730384093e-01,0.000000000000000000e+00
2.049999999999999822e+00,6.205859083378049590e+00,5.018632726281779810e-01,5.018632726281779810e-01,0.000000000000000000e+00
2.060000000000000053e+00,6.210865814762002834e+00,5.006731383953244574e-01,5.006731383953244574e-01,0.000000000000000000e+00
2.069999999999999840e+00,6.215860595389210985e+00,4.994780627208150747e-01,4.994780627208150747e-01,0.000000000000000000e+00
2.080000000000000071e+00,6.220843375963204913e+00,4.982780573993927931e-01,4.982780573993927931e-01,0.000000000000000000e+00
2.089999999999999858e+00,6.225814107305952305e+00,4.970731342747392034e-01,4.970731342747392034e-01,0.000000000000000000e+00
2.100000000000000089e+00,6.230772740358342610e+00,4.958633052390304385e-01,4.958633052390304385e-01,0.000000000000000000e+00
2.109999999999999876e+00,6.235719226180668429e+00,4.946485822325819015e-01,4.946485822325819015e-01,0.000000000000000000e+00
2.120000000000000107e+00,6.240653515953111352e+00,4.934289772442923550e-01,4.934289772442923550e-01,0.000000000000000000e+00
2.129999999999999893e+00,6.245575560976224239e+00,4.922045023112886497e-01,4.922045023112886497e-01,0.000000000000000000e+00
2.140000000000000124e+00,6.250485312671409055e+00,4.909751695184816356e-01,4.909751695184816356e-01,0.000000000000000000e+00
2.149999999999999911e+00,6.255382722581400046e+00,4.897409909990990684e-01,4.897409909990990684e-01,0.000000000000000000e+00
2.160000000000000142e+00,6.260267742370737132e+00,4.885019789337086138e-01,4.885019789337086138e-01,0.000000000000000000e+00
2.169999999999999929e+00,6.265140323826248192e+00,4.872581455511060256e-01,4.872581455511060256e-01,0.000000000000000000e+00
2.180000000000000160e+00,6.270000418857519797e+00,4.860095031271605137e-01,4.860095031271605137e-01,0.000000000000000000e+00
2.189999999999999947e+00,6.274847979497377715e+00,4.847560639857917408e-01,4.847560639857917408e-01,0.000000000000000000e+00
2.200000000000000178e+00,6.279682957902355867e+00,4.834978404978151900e-01,4.834978404978151900e-01,0.000000000000000000e+00
2.209999999999999964e+00,6.284505306353167065e+00,4.822348450811198006e-01,4.822348450811198006e-01,0.000000000000000000e+00
2.220000000000000195e+00,6.289314977255180850e+00,4.809670902013785110e-01,4.809670902013785110e-01,0.000000000000000000e+00
2.229999999999999982e+00,6.294111923138887121e+00,4.796945883706271729e-01,4.796945883706271729e-01,0.000000000000000000e+00
