# meas,ref,error,kp,ki,kd,kpd, u
4.515063266104685780e-01,4.550418302731133458e-01,3.535503662644767786e-03,3.535503662644767786e-02,2.040888415319135341e-01,-1.093847042619167098e-03,3.426118958382851076e-02,2.383500311157420448e-01
4.515334628598533517e-01,4.550418302731133458e-01,3.508367413259994017e-03,3.508367413259994017e-02,2.043519690879080364e-01,-1.085449975390950783e-03,3.399822415720898938e-02,2.383501932451170258e-01
4.515603908038511860e-01,4.550418302731133458e-01,3.481439469262159747e-03,3.481439469262159747e-02,2.046130770481027206e-01,-1.077117759913370776e-03,3.373727693270822670e-02,2.383503539808109473e-01
4.515871120498189950e-01,4.550418302731133458e-01,3.454718223294350743e-03,3.454718223294350743e-02,2.048721809148497663e-01,-1.068849838712360167e-03,3.347833239423114726e-02,2.383505133090809136e-01
4.516136281910394512e-01,4.550418302731133458e-01,3.428202082073894541e-03,3.428202082073894541e-02,2.051292960710053292e-01,-1.060645648818248077e-03,3.322137517192069733e-02,2.383506712429260266e-01
4.516399408068510479e-01,4.550418302731133458e-01,3.401889466262297823e-03,3.401889466262297823e-02,2.053844377809750099e-01,-1.052504632463868717e-03,3.296639003015910951e-02,2.383508278111341194e-01
4.516660514629358691e-01,4.550418302731133458e-01,3.375778810177476608e-03,3.375778810177476608e-02,2.056376211917383123e-01,-1.044426243392848619e-03,3.271336185838191746e-02,2.383509830501202298e-01
4.516919617116837427e-01,4.550418302731133458e-01,3.349868561429603098e-03,3.349868561429603098e-02,2.058888613338455409e-01,-1.036409949914940398e-03,3.246227566438109058e-02,2.383511369982266315e-01
4.517176730925757666e-01,4.550418302731133458e-01,3.324157180537579137e-03,3.324157180537579137e-02,2.061381731223858593e-01,-1.028455235680958424e-03,3.221311656969483295e-02,2.383512896920806923e-01
4.517431871325504611e-01,4.550418302731133458e-01,3.298643140562884657e-03,3.298643140562884657e-02,2.063855713579280660e-01,-1.020561598987779206e-03,3.196586980664106736e-02,2.383514411645691333e-01
4.517685053463327272e-01,4.550418302731133458e-01,3.273324926780618593e-03,3.273324926780618593e-02,2.066310707274366387e-01,-1.012728551290642542e-03,3.172052071651554339e-02,2.383515914439521821e-01
4.517936292367163986e-01,4.550418302731133458e-01,3.248201036396947128e-03,3.248201036396947128e-02,2.068746858051664361e-01,-1.004955615346858622e-03,3.147705474862261266e-02,2.383517405537890488e-01
4.518185602947998314e-01,4.550418302731133458e-01,3.223269978313514361e-03,3.223269978313514361e-02,2.071164310535399400e-01,-9.972423233373106655e-04,3.123545745979783295e-02,2.383518885133377729e-01
4.518433000001784716e-01,4.550418302731133458e-01,3.198530272934874130e-03,3.198530272934874130e-02,2.073563208240100653e-01,-9.895882151456092402e-04,3.099571451420313206e-02,2.383520353382131973e-01
4.518678498211011196e-01,4.550418302731133458e-01,3.173980452012226117e-03,3.173980452012226117e-02,2.075943693579109517e-01,-9.819928369059205409e-04,3.075781168321634063e-02,2.383521810411272923e-01
4.518922112145969394e-01,4.550418302731133458e-01,3.149619058516406334e-03,3.149619058516406334e-02,2.078305907872996516e-01,-9.744557398327913234e-04,3.052173484533127201e-02,2.383523256326309236e-01
